Sort algorithm time record(Millisecond):
Data size,mergeSort,mergeSortNotOpt,radixSort,sort(STL),quickSort,quickStNotOpt,heapSort,shellSort,insertionSort,bubbleSort,selectionSort
5100,0.15432,0.17316,0.290355,0.185905,0.218597,0.281489,0.339393,0.312519,4.20543,11.8984,19.5042
5200,0.154597,0.177593,0.304207,0.190892,0.214164,0.267913,0.361835,0.327757,4.40131,12.3891,20.3498
5300,0.158476,0.182303,0.298112,0.192554,0.213056,0.301991,0.35851,0.335792,4.53624,12.8294,21.0986
5400,0.160969,0.184796,0.313904,0.199757,0.214164,0.288969,0.371255,0.341333,4.72519,13.3937,21.8996
5500,0.169004,0.188952,0.305039,0.205575,0.245472,0.308363,0.374857,0.359896,4.90444,13.8586,22.8156
5600,0.169835,0.193108,0.316952,0.205853,0.222753,0.915393,0.382891,0.351584,5.07539,14.3407,23.537
5700,0.171775,0.19477,0.323324,0.209177,0.244917,0.296173,0.392588,0.36045,5.23331,14.8668,24.6208
5800,0.174268,0.202251,0.328034,0.212502,0.245194,0.312796,0.390926,0.36987,5.49734,15.4608,25.4675
5900,0.179255,0.202528,0.332467,0.217212,0.236606,0.312796,0.414476,0.375411,5.66552,15.8825,26.1361
6000,0.180086,0.205298,0.332467,0.223584,0.252398,0.320554,0.41974,0.384554,5.89187,16.4399,27.0595
6100,0.187844,0.2089,0.346597,0.225523,0.969696,0.332467,0.414476,0.387601,6.07639,17.0331,27.976
6200,0.187844,0.212502,0.350476,0.229125,0.276502,0.470995,0.435809,0.39148,6.28003,17.6812,28.9238
6300,0.191723,0.217489,0.354354,0.233558,0.264865,0.337177,0.448831,0.39619,6.51358,18.0743,30.0437
6400,0.192831,0.221091,0.364883,0.238545,0.285368,0.419463,0.450216,0.412259,6.71473,18.6639,30.8283
6500,0.19477,0.22774,0.369593,0.241593,0.287307,0.468224,0.471549,0.411705,6.90257,19.2135,31.8096
6600,0.200588,0.226909,0.374025,0.251013,0.272623,0.36045,0.47432,0.426112,7.39296,19.9137,32.7879
6700,0.20613,0.232173,0.378458,0.251567,0.267082,0.354909,0.475982,0.421402,7.39047,20.3201,33.882
6800,0.204467,0.235775,0.376796,0.257385,0.2898,0.370147,0.487064,0.434424,7.61931,21.187,34.6691
6900,0.206961,0.239376,0.391203,0.260155,0.295342,0.366545,0.481523,0.454095,7.88972,21.9813,35.7264
7000,0.220259,0.244086,0.396467,0.264311,0.285922,0.367099,0.500363,0.456588,8.07729,22.4354,36.8177
7100,0.218597,0.245472,0.4009,0.269298,0.286476,0.465177,0.502025,0.4649,8.33717,23.1331,37.9589
7200,0.215549,0.249073,0.400069,0.272623,0.29922,0.38677,0.513939,0.469333,8.63528,23.8792,38.8635
7300,0.22303,0.255168,0.410874,0.276502,0.445229,0.402562,0.518926,0.478476,8.78683,24.3804,39.8406
7400,0.22303,0.259878,0.420848,0.276225,0.295065,0.396744,0.523913,0.484571,8.96719,25.1273,41.1755
7500,0.233281,0.277056,0.428051,0.285645,0.320554,0.398683,0.531947,0.496207,9.23954,25.7684,42.2779
7600,0.229125,0.269021,0.430268,0.288692,0.312796,0.415861,0.548294,0.501194,9.49304,26.5046,43.3842
7700,0.23245,0.269575,0.435255,0.292017,0.339116,0.423341,0.553558,0.509506,9.75486,27.1739,44.5852
7800,0.238822,0.275948,0.441073,0.298389,0.369316,0.437194,0.562701,0.508952,9.94797,27.7649,45.7353
7900,0.238822,0.279272,0.449108,0.300329,0.32471,0.491774,0.567965,0.515047,10.271,28.5883,46.8826
8000,0.242147,0.282043,0.454926,0.303099,0.342164,0.461575,0.579601,0.530562,10.5351,29.9841,48.0348
8100,0.244363,0.283705,0.461298,0.310857,0.355463,0.435809,0.588744,0.542752,10.7683,30.1124,49.3323
8200,0.285368,0.290078,0.464069,0.313073,0.349367,0.443012,0.592068,0.55051,11.1919,32.9431,50.648
8300,0.255168,0.295342,0.46961,0.318891,0.359896,0.477921,0.592345,0.561592,11.2665,31.3112,52.5525
8400,0.256277,0.298666,0.471826,0.325541,0.393973,0.474043,0.651635,0.565471,11.7552,32.4408,53.1036
8500,0.257662,0.302268,0.480692,0.324987,0.380121,0.452986,0.617003,0.575445,11.7685,33.0342,54.2994
8600,0.26071,0.307532,0.486787,0.330528,0.371532,0.469056,0.62864,0.589021,12.0899,33.6459,55.6824
8700,0.263203,0.312242,0.492605,0.335515,0.373194,0.466285,0.632242,0.594008,12.3079,34.5483,57.1547
8800,0.26819,0.315567,0.493991,0.340502,0.380398,0.475151,0.642493,0.601765,12.6191,35.4025,58.2133
8900,0.272346,0.318614,0.507012,0.349922,0.432207,0.507012,0.65025,0.610908,12.8931,36.2794,59.557
9000,0.274562,0.320554,0.51283,0.345212,0.397021,0.511722,0.649419,0.621713,13.2081,37.2227,60.9462
9100,0.275117,0.32471,0.515047,0.349922,0.392588,0.522527,0.669921,0.629748,13.5419,37.9633,62.2617
9200,0.282874,0.326372,0.52419,0.357679,0.398129,0.516986,0.677679,0.640276,13.8234,38.7094,63.5641
9300,0.284813,0.333021,0.525852,0.357402,0.388709,0.519757,0.682666,0.648588,14.1709,40.1424,64.8627
9400,0.290632,0.338562,0.531947,0.366545,0.397021,0.520865,0.6907,0.657454,14.4388,40.4158,66.6278
9500,0.29922,0.339393,0.539982,0.371255,0.941159,0.509506,0.695687,0.663272,14.7136,41.2376,67.7925
9600,0.301437,0.342441,0.539705,0.374025,0.419186,0.546354,0.700674,0.704553,15.027,42.4957,69.3155
9700,0.305039,0.345489,0.553004,0.379567,0.424727,0.517263,0.709263,0.689038,16.118,43.0548,70.7989
9800,0.311134,0.352692,0.55522,0.38206,0.433315,0.53638,0.736969,0.689592,15.626,43.9516,73.1788
9900,0.315844,0.356017,0.55993,0.387601,0.451601,0.54109,0.737523,0.705384,15.9119,45.3302,73.6088
10000,0.317506,0.35574,0.56741,0.391757,0.4178,0.546354,0.747497,0.716467,16.21,45.7106,75.3345
10100,0.322493,0.36045,0.574614,0.392588,0.521419,0.611185,0.77077,0.735583,16.607,46.7138,76.7622
10200,0.32,0.363497,0.583757,0.398129,0.463237,0.65025,0.763843,0.750267,16.8641,48.6089
10300,0.327757,0.370147,0.583757,0.407272,0.443289,0.587359,0.774094,0.752761,17.1816,48.1448
10400,0.329142,0.375134,0.588744,0.410043,0.456865,0.612848,0.772986,0.753592,17.4595,51.7903
10500,0.339948,0.378181,0.592346,0.412813,0.468502,0.662164,0.784622,0.76412,17.9432
10600,0.341056,0.383999,0.607861,0.414199,0.513385,0.618389,0.820917,0.797921,18.2004
10700,0.338562,0.388986,0.605921,0.420017,0.460744,0.608138,0.798475,0.795982,22.8915
10800,0.346043,0.391757,0.616172,0.423618,0.45548,0.583203,0.802354,0.786562,18.9268
10900,0.360173,0.397298,0.622545,0.428051,0.559653,0.602042,0.820363,0.796813,19.1922
11000,0.35574,0.400623,0.6267,0.436086,0.484848,0.702337,0.855272,0.810666,19.5804
11100,0.359341,0.403393,0.629471,0.440242,0.518095,0.617281,0.859704,0.821194,20.0453
11200,0.369038,0.414199,0.708986,0.513385,0.504796,1.08606,0.942267,1.01652,22.4811
11300,0.36045,0.406164,0.642493,0.453263,0.505073,0.61922,0.846406,0.831722,20.8654
11400,0.36987,0.419186,0.65219,0.451047,0.531947,0.696796,0.907912,0.900155,20.9249
11500,0.371809,0.423064,0.666042,0.459082,0.714527,0.705107,0.899878,0.871341,21.3483
11600,0.371809,0.421679,0.663549,0.464346,0.521696,0.639999,0.881315,0.865246,21.7187
11700,0.374303,0.426666,0.679064,0.467393,0.547462,0.698735,0.881869,0.868016,22.0223
11800,0.374303,0.426943,0.672138,0.47238,0.51754,0.707878,0.912068,0.917886,22.5263
11900,0.37929,0.434147,0.676848,0.471826,0.700674,0.659393,0.968864,0.907635,26.9509
12000,0.385108,0.434147,0.682112,0.477644,0.523359,0.6907,0.936726,0.901817,23.1971
12100,0.388155,0.440519,0.69264,0.478753,0.536934,0.654683,0.904587,0.923427,23.7492
12200,0.388709,0.443844,0.705107,0.484571,0.584588,0.675185,0.922596,0.900155,24.0011
12300,0.391203,0.446337,0.707601,0.494545,0.554112,0.685159,0.952241,0.905973,24.3817
12400,0.393973,0.451601,0.714804,0.496484,0.531393,0.678233,0.940328,0.914284,24.7256
12500,0.400623,0.455203,0.711757,0.499255,0.587636,1.0481,0.960276,0.935895,25.2686
12600,0.409489,0.458527,0.717298,0.504519,0.554112,0.699289,0.994631,0.953626,25.9615
12700,0.410874,0.463515,0.722562,0.507566,0.544415,0.695133,0.993522,0.971081,26.0106
12800,0.410874,0.467116,0.732259,0.515047,0.557159,0.727826,1.00156,0.982994,26.3746
12900,0.418354,0.474043,0.734475,0.515601,0.577384,0.840311,0.994908,0.964709,26.7104
13000,0.420294,0.478476,0.751099,0.523636,0.590683,1.22043,1.12429,1.19854,29.218
13100,0.420294,0.480969,0.752207,0.529731,0.578216,0.760518,1.02677,0.981609,27.8355
13200,0.423618,0.479584,0.75193,0.527237,0.611739,0.733644,1.02095,1.00765,28.1456
13300,0.427497,0.487341,0.763566,0.536934,0.726441,0.812328,1.00738,0.98715,28.5218
13400,0.427774,0.491774,0.790995,0.539705,0.666319,0.812328,1.26337,1.0071,29.1773
13500,0.430822,0.497592,0.766614,0.54303,0.59567,0.778527,1.05087,1.05392,29.515
13600,0.439134,0.500363,0.779081,0.553281,0.646094,0.775757,1.05198,1.0276,29.8475
13700,0.441073,0.502856,0.780466,0.553004,0.705384,0.755808,1.04699,1.03342,30.4598
13800,0.447168,0.503411,0.786839,0.557159,0.62199,0.866631,1.08606,1.04699,30.7607
13900,0.446614,0.512276,0.790718,0.562146,0.619774,4.56228,1.1459,1.06971,31.1364
14000,0.467393,0.544415,0.806233,0.562978,0.662441,2.51096,1.14507,1.06112,31.8429
14100,0.463515,0.516709,0.823133,0.571289,0.668259,0.816207,1.10739,1.05281,32.0399
14200,0.455203,0.51948,0.806233,0.577384,0.650804,0.864968,1.11099,1.08412,32.8973
14300,0.457142,0.52696,0.824795,0.580709,0.643324,0.816484,1.15948,1.08661,33.0605
14400,0.460467,0.529177,0.826181,0.584865,0.679618,0.838371,1.13648,1.11792,33.5639
14500,0.469887,0.533333,0.813159,0.589021,0.644986,0.896276,1.12125,1.11349,34.2084
14600,0.46961,0.539151,0.829505,0.593731,0.63141,0.868293,1.15671,1.13898,34.5624
14700,0.473489,0.548848,0.858596,0.596778,0.649419,0.864691,1.21932,1.12402,35.1315
14800,0.479584,0.547185,0.843912,0.602042,0.915947,0.822302,1.14757,1.12789,35.6701
14900,0.484848,0.554943,0.840033,0.607029,0.686822,0.87993,1.16086,1.15421,36.0757
15000,0.487341,0.558822,0.854994,0.611185,0.661332,0.874388,1.17998,1.17001,36.6334
15100,0.490389,0.561315,0.861644,0.616726,0.787393,0.923704,1.20602,1.15948,37.0213
15200,0.504796,0.566579,0.87328,0.624484,0.754146,0.910683,1.20159,1.16779,37.5987
15300,0.498146,0.566856,0.869956,0.627255,0.723116,0.855272,1.20104,1.18192,38.0434
15400,0.497592,0.573229,0.903202,0.632242,0.889072,1.06389,1.216,1.18303,41.3409
